exp_name,lambda_scale,ber,baseline_acc,fault_acc,ckpt_path
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6,3e-06,0.0001,88.66,88.55,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6,3e-06,0.001,88.66,88.15,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6,3e-06,0.01,88.66,86.96,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6,3e-06,0.02,88.66,84.67,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6,3e-06,0.05,88.66,71.25,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6,3e-06,0.1,88.66,40.78,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5,1e-05,1e-05,88.3,88.32,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5,1e-05,0.0001,88.3,88.34,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5,1e-05,0.001,88.3,87.9,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5,1e-05,0.01,88.3,85.76,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5,1e-05,0.02,88.3,83.87,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5,1e-05,0.05,88.3,71.25,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5,1e-05,0.1,88.3,42.82,training/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5/alexnet_cifar10_single_gpu_normal_srqat_ls1e_m5_checkpoint.pth.tar
