exp_name,lambda_scale,layer,is_dynamic_s,s_len,s_active_wbit,s_active,s_active_sq,ckpt_path
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6,3e-06,features.0,0,1,,0.0037361152935773134,1.3958557246951386e-05,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6,3e-06,features.10,1,5,6,0.002068634144961834,4.279247150407173e-06,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6,3e-06,features.3,1,5,6,0.0053334967233240604,2.8446187570807524e-05,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6,3e-06,features.6,1,5,6,0.0011084723519161344,1.2287109711905941e-06,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6,3e-06,features.8,1,5,6,0.002013525227084756,4.054283635923639e-06,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m6_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7,3e-07,classifier.1,1,5,6,0.0008900004322640598,7.921007636468858e-07,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7,3e-07,classifier.4,1,5,6,0.001220410456880927,1.489401711296523e-06,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7,3e-07,classifier.6,0,1,,0.0050808945670723915,2.5815488697844557e-05,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7,3e-07,features.0,0,1,,0.004371383227407932,1.910899118229281e-05,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7,3e-07,features.10,1,5,6,0.0021172836422920227,4.482889835344395e-06,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7,3e-07,features.3,1,5,6,0.005304824095219374,2.8141159418737516e-05,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7,3e-07,features.6,1,5,6,0.0012254215544089675,1.5016579482107772e-06,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7,3e-07,features.8,1,5,6,0.0019389105727896094,3.759374294531881e-06,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m7_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m8,3e-08,classifier.1,1,5,6,0.0008999172132462263,8.09850973837456e-07,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m8/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m8_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m8,3e-08,classifier.4,1,5,6,0.0012220977805554867,1.4935229728507693e-06,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m8/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m8_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m8,3e-08,classifier.6,0,1,,0.00578806409612298,3.3501684811199084e-05,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m8/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m8_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m8,3e-08,features.0,0,1,,0.0040394943207502365,1.631751365493983e-05,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m8/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m8_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m8,3e-08,features.10,1,5,6,0.0021549861412495375,4.643965439754538e-06,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m8/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m8_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m8,3e-08,features.3,1,5,6,0.0052632857114076614,2.7702177249011584e-05,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m8/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m8_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m8,3e-08,features.6,1,5,6,0.00023551438061986119,5.5467022974653446e-08,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m8/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m8_checkpoint.pth.tar
alexnet_cifar10_single_gpu_normal_srqat_ls3e_m8,3e-08,features.8,1,5,6,0.001976430881768465,3.906278834620025e-06,training/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m8/alexnet_cifar10_single_gpu_normal_srqat_ls3e_m8_checkpoint.pth.tar
